n,cvar,qcvar,var,qvar,tvar,qtvar,expectation
6000,0.20960299999999998,0.042450999999999996,0.19688799999999998,0.021911999999999997,0.20346999999999998,0.08093499999999999,0.004689
6000,0.21781799999999998,0.048874,0.199753,0.026671,0.23638399999999998,0.081888,0.004338
6000,0.206526,0.089181,0.193441,0.077929,0.200515,0.10783699999999999,0.0043089999999999995
6000,0.214802,0.080674,0.20088499999999998,0.060766999999999995,0.208641,0.09189599999999999,0.00481
6000,0.21278799999999998,0.076787,0.190585,0.05721,0.198311,0.079112,0.004399
6000,0.203822,0.08086499999999999,0.190485,0.060115999999999996,0.21772799999999998,0.095854,0.004188
6000,0.20960199999999998,0.102697,0.19594599999999998,0.103228,0.20340999999999998,0.085003,0.004128
6000,0.212698,0.06623799999999999,0.227427,0.047441,0.20776899999999998,0.10603399999999999,0.004338
6000,0.211426,0.059683999999999994,0.199152,0.040146999999999995,0.22416999999999998,0.11151399999999999,0.004548
6000,0.238618,0.08277899999999999,0.19796999999999998,0.06299099999999999,0.204753,0.078029,0.0043289999999999995
6000,0.211466,0.095664,0.19864099999999998,0.071397,0.205034,0.08909099999999999,0.0046289999999999994
6000,0.20474299999999998,0.07993299999999999,0.191497,0.058762999999999996,0.21885,0.102296,0.004177999999999999
6000,0.206918,0.09838899999999999,0.188612,0.079071,0.216165,0.097427,0.00479
6000,0.21234699999999998,0.085865,0.19838,0.066298,0.22655499999999998,0.09816899999999999,0.004719
6000,0.21043299999999998,0.067129,0.196217,0.048984,0.203641,0.105212,0.004208
6000,0.20768799999999998,0.074443,0.193842,0.056108,0.221686,0.09355899999999999,0.004478
6000,0.20530299999999999,0.104891,0.192269,0.085334,0.19796,0.113327,0.004128
6000,0.211576,0.035457999999999996,0.20041399999999998,0.017082999999999997,0.19939199999999999,0.09337899999999999,0.004238
6000,0.197759,0.09874,0.184965,0.087548,0.192359,0.116503,0.004349
6000,0.21923099999999998,0.037612,0.20496299999999998,0.018906,0.21973199999999998,0.098179,0.023965999999999998
6000,0.21819899999999998,0.07470399999999999,0.205314,0.055707,0.217718,0.112285,0.0043289999999999995
6000,0.204593,0.086697,0.198992,0.064804,0.196287,0.105352,0.004288
6000,0.210363,0.07772899999999999,0.228299,0.057880999999999995,0.204623,0.087728,0.004579
6000,0.20538399999999998,0.099551,0.199643,0.078521,0.19749899999999998,0.08436199999999999,0.004017
6000,0.20324,0.07264,0.210834,0.05758,0.196567,0.100523,0.004579
6000,0.236895,0.058442999999999995,0.197398,0.037943,0.204121,0.11003199999999999,0.0046689999999999995
6000,0.202508,0.055096,0.188432,0.035468,0.19533499999999998,0.12706399999999998,0.004999
6000,0.22219599999999998,0.089061,0.189724,0.070466,0.19633699999999998,0.116363,0.0043679999999999995
6000,0.213219,0.10073399999999999,0.19294999999999998,0.08147599999999999,0.199794,0.10360899999999999,0.004228
6000,0.21245699999999998,0.070826,0.18978499999999998,0.051258,0.19519399999999998,0.10245699999999999,0.004509
6000,0.211757,0.074644,0.190826,0.054615,0.19807999999999998,0.07296,0.004248
6000,0.208119,0.051317999999999996,0.201868,0.0315,0.20088599999999998,0.09604499999999999,0.004338
6000,0.206998,0.083851,0.19257,0.06518499999999999,0.19994399999999998,0.087949,0.0046489999999999995
6000,0.23244599999999999,0.10335799999999999,0.19674799999999998,0.084051,0.210234,0.09215699999999999,0.004409
6000,0.200064,0.091776,0.206587,0.07196799999999999,0.193261,0.103959,0.0042179999999999995
