n,cvar,qcvar,var,qvar,tvar,qtvar
44,33173.0,1202.0,33013.0,762.0,1673.0,1853.0
44,33304.0,1302.0,32954.0,742.0,1523.0,1903.0
45,31881.0,1232.0,32072.0,752.0,1422.0,1903.0
45,31941.0,1373.0,31691.0,752.0,1543.0,1613.0
45,31811.0,1132.0,31691.0,742.0,1533.0,1783.0
45,53142.0,1303.0,31410.0,732.0,1593.0,1573.0
45,32131.0,1182.0,31631.0,712.0,1383.0,1733.0
45,31801.0,1373.0,31441.0,741.0,1483.0,1623.0
45,31841.0,1142.0,31420.0,721.0,1563.0,1754.0
45,32192.0,1292.0,32382.0,721.0,1473.0,1583.0
45,32993.0,1132.0,32523.0,782.0,1402.0,1903.0
45,32673.0,1292.0,32513.0,711.0,1462.0,1573.0
46,41189.0,1634.0,40388.0,902.0,1943.0,2345.0
46,41269.0,1693.0,40467.0,862.0,1783.0,2425.0
46,41590.0,1703.0,40317.0,862.0,1864.0,2345.0
46,40979.0,1674.0,58562.0,881.0,1923.0,2605.0
46,41269.0,1753.0,40418.0,862.0,1883.0,2244.0
46,41340.0,1713.0,40558.0,872.0,1903.0,2394.0
46,41369.0,1834.0,40557.0,862.0,1793.0,2305.0
46,41450.0,1703.0,40388.0,861.0,1864.0,2244.0
46,41139.0,1593.0,40347.0,872.0,1904.0,2244.0
46,41329.0,1673.0,40598.0,862.0,1663.0,2395.0
47,40357.0,1674.0,39726.0,852.0,1533.0,2315.0
47,40488.0,1603.0,39967.0,862.0,1724.0,2255.0
47,40348.0,1623.0,39887.0,851.0,1743.0,2525.0
47,40538.0,1563.0,39917.0,842.0,1583.0,2435.0
47,40478.0,1583.0,39626.0,842.0,1713.0,2505.0
47,40748.0,1694.0,39777.0,831.0,2114.0,2545.0
47,40207.0,1593.0,40177.0,852.0,1553.0,2465.0
47,40358.0,1613.0,39657.0,841.0,2044.0,2194.0
47,40498.0,1653.0,40117.0,842.0,1703.0,2235.0
47,40247.0,1794.0,39706.0,842.0,1904.0,2264.0
48,45157.0,2144.0,45027.0,941.0,1754.0,2555.0
48,45628.0,1834.0,65185.0,981.0,2004.0,2756.0
48,45618.0,2114.0,44726.0,952.0,1904.0,2595.0
48,45237.0,1814.0,44706.0,952.0,2134.0,2595.0
48,45337.0,1683.0,44616.0,1843.0,2024.0,2595.0
48,45427.0,1784.0,44716.0,931.0,1843.0,2495.0
48,45076.0,1723.0,44776.0,952.0,1853.0,2525.0
48,45898.0,1673.0,44536.0,952.0,2114.0,2475.0
48,45398.0,1803.0,45037.0,952.0,1964.0,2545.0
48,45308.0,1843.0,44766.0,942.0,2264.0,2615.0
49,49064.0,1954.0,48143.0,1012.0,1953.0,2715.0
49,48704.0,1813.0,47962.0,1042.0,2214.0,2565.0
49,48803.0,2024.0,48153.0,1012.0,2275.0,2865.0
49,48504.0,1803.0,48394.0,1012.0,1904.0,2665.0
49,48754.0,1804.0,47982.0,1012.0,1974.0,2635.0
49,49044.0,2285.0,48102.0,1002.0,2034.0,2635.0
49,49184.0,1893.0,48273.0,1042.0,2234.0,3186.0
49,48674.0,1873.0,47952.0,1032.0,2254.0,2625.0
49,49074.0,1824.0,68942.0,1052.0,2124.0,2595.0
49,48654.0,1904.0,50567.0,1052.0,1994.0,2916.0
50,59775.0,2255.0,59534.0,1172.0,2454.0,3577.0
50,59754.0,2175.0,59153.0,1183.0,2354.0,3086.0
50,60016.0,2184.0,59374.0,1173.0,2565.0,3256.0
50,60146.0,2174.0,59023.0,1182.0,2455.0,3036.0
50,59975.0,2094.0,81306.0,1182.0,2706.0,3276.0
50,59684.0,2114.0,59153.0,1182.0,2575.0,2915.0
50,59785.0,2385.0,59224.0,1182.0,2595.0,3116.0
50,59645.0,2184.0,59113.0,1172.0,2485.0,2986.0
50,62470.0,2575.0,58913.0,1182.0,2645.0,3146.0
50,60196.0,2224.0,59013.0,1173.0,2504.0,3055.0
51,58312.0,2284.0,76698.0,1172.0,2414.0,3257.0
51,58412.0,2164.0,57831.0,1172.0,2184.0,3076.0
51,58432.0,2114.0,57651.0,1142.0,2304.0,2946.0
51,58833.0,2204.0,57551.0,1142.0,2404.0,3056.0
51,58543.0,2144.0,57521.0,1172.0,2645.0,3147.0
51,58723.0,2134.0,58062.0,1182.0,2344.0,3096.0
51,58663.0,2616.0,58102.0,1152.0,2535.0,3186.0
51,58432.0,2224.0,58022.0,1183.0,2354.0,3326.0
51,76216.0,2125.0,57601.0,1162.0,2275.0,3075.0
51,58753.0,2285.0,57721.0,1152.0,2444.0,3196.0
52,60165.0,2345.0,59424.0,1172.0,2485.0,3577.0
52,59825.0,2114.0,59465.0,1172.0,2444.0,3166.0
52,60106.0,2265.0,59274.0,1172.0,2535.0,3066.0
52,60105.0,2445.0,59114.0,1192.0,2535.0,3227.0
52,77629.0,2245.0,66277.0,1192.0,2275.0,3036.0
52,60697.0,2184.0,59364.0,1172.0,2255.0,3076.0
52,60817.0,2555.0,59754.0,1192.0,2464.0,3637.0
52,58172.0,2204.0,63322.0,1482.0,2705.0,3667.0
52,60427.0,2214.0,59805.0,1183.0,2415.0,2966.0
52,60857.0,2255.0,59875.0,1182.0,2515.0,3226.0
53,68873.0,2926.0,67610.0,1322.0,2866.0,3747.0
53,68812.0,2445.0,67741.0,1313.0,2615.0,3767.0
53,68932.0,2445.0,67399.0,1303.0,2805.0,3366.0
